1.6496,0.55,1.1206,0.4828
0.7905,0.6071,1.2385,0.5172
0.7685,0.6643,0.7077,0.5345
0.6542,0.7214,0.9273,0.4828
0.3499,0.9,1.8254,0.5172
0.3758,0.8286,3.2288,0.4828
0.4793,0.8,3.302,0.4828
0.2862,0.8929,2.6659,0.4828
0.2052,0.9429,2.2437,0.5345
0.3409,0.8571,1.3172,0.5862
0.2121,0.9,2.3884,0.5345
0.2873,0.9,3.318,0.6034
0.2773,0.8786,1.3181,0.4828
0.3402,0.8786,1.0573,0.5862
0.232,0.9143,1.7128,0.5345
0.0467,0.9929,2.2404,0.569
0.0728,0.9714,1.8232,0.6034
0.1906,0.9357,1.7465,0.569
0.119,0.9429,2.7986,0.4828
0.7367,0.7214,2.3304,0.5862
0.1136,0.9714,2.4846,0.4655
0.219,0.9286,1.93,0.4655
0.0755,0.9857,2.2296,0.569
0.0575,0.9786,1.7831,0.569
0.0177,1,2.2442,0.5862
0.0194,0.9857,1.8424,0.6379
0.519,0.8143,1.4172,0.5345
0.296,0.8714,1.9229,0.5862
0.1526,0.95,1.8842,0.6034
0.0779,0.9643,2.6406,0.5172
0.1284,0.9357,2.8516,0.6034
0.1467,0.9714,1.0867,0.569
0.0167,1,2.3922,0.5862
0.0068,1,2.5597,0.5862
0.0202,0.9929,2.8975,0.4655
0.0037,1,2.8391,0.5862
0.0024,1,2.9684,0.5862
0.2342,0.9143,1.255,0.6207
0.0465,0.9857,2.1205,0.6034
0.0067,1,2.5296,0.6034
0.002,1,2.4699,0.6034
0.0023,1,2.8462,0.6034
0.0017,1,2.772,0.6034
0.0013,1,2.7213,0.6034
9.61E-04,1,2.6913,0.6034
0.001,1,2.7257,0.6034
6.59E-04,1,2.7192,0.6034
6.39E-04,1,2.7455,0.6034
7.05E-04,1,2.83,0.6034
5.28E-04,1,2.8223,0.6034
4.93E-04,1,2.8611,0.6034
6.10E-04,1,2.9811,0.6034
4.74E-04,1,2.9409,0.6034
4.13E-04,1,2.9343,0.6034
3.92E-04,1,3.0049,0.6034
4.38E-04,1,3.0553,0.6034
4.01E-04,1,3.0558,0.6034
3.55E-04,1,3.0619,0.6034
3.45E-04,1,3.0966,0.6034
3.01E-04,1,3.1508,0.6034
2.61E-04,1,3.1481,0.6034
3.12E-04,1,3.13,0.6034
3.26E-04,1,3.1624,0.6034
2.75E-04,1,3.1416,0.6034
1.97E-04,1,3.1344,0.6034
2.54E-04,1,3.2113,0.6034
2.06E-04,1,3.2349,0.6034
2.25E-04,1,3.2795,0.6034
1.77E-04,1,3.2885,0.6034
1.63E-04,1,3.3233,0.6034
1.60E-04,1,3.3506,0.6034
1.90E-04,1,3.3659,0.6034
1.43E-04,1,3.3727,0.6034
1.24E-04,1,3.3904,0.6034
1.62E-04,1,3.3984,0.6034
1.49E-04,1,3.4181,0.6034
1.63E-04,1,3.4261,0.6034
1.12E-04,1,3.3835,0.6034
9.74E-05,1,3.4045,0.6034
0.8041,0.7714,2111.1697,0.5172
0.9515,0.5786,56.248,0.5172
0.9508,0.6643,1.6336,0.5345
0.6906,0.6714,1.4102,0.6379
0.4995,0.7571,1.0716,0.4828
0.6131,0.7929,2.3046,0.5
0.5275,0.8,2.1105,0.4483
0.5766,0.7571,1.1749,0.5
0.2973,0.9071,1.172,0.6379
0.2284,0.9214,1.0091,0.6379
0.1676,0.95,1.7642,0.5862
0.209,0.9214,1.5925,0.5862
0.2275,0.9286,1.6891,0.4828
0.2772,0.9071,3.1656,0.569
0.1696,0.9429,1.508,0.6207
0.2275,0.9143,1.0928,0.5345
0.1163,0.9786,0.9799,0.569
0.0644,0.9786,1.1025,0.569
0.019,1,1.126,0.569
0.1245,0.9571,4.2746,0.4828
0.4675,0.85,1.0638,0.5
